,Butterfly species,overwintering stage,hosts,broods,vagility
1,Anthocharis sara,pupae,herb Brassicaceae (Arabis),1,hundreds
2,Apodemia mormo,larvae,Polygonaceae (Eriogonum*),1,tens
3,Battus philenor,pupae,Aristolochia,migrant,very high
4,Brephidium exile,pupae,"Chenopodaceae (Atriplex, Salsola, Halogetum)",multiple,very high
5,Callophrys affinis,pupae,Polygonaceae (Eriogonum),1,hundreds
6,Celastrina ladon,pupae,"generalist but prefers Rosaceae (Petrophytum, Peraphyllum)",1-2,hundreds
7,Cercyonis oetus,larvae,"Poaceae (Poa, Bouteloua)",1,hundreds
8,Cercyonis sthenele,larvae,Poaceae,1,hundreds
9,Chlosyne acastus,larvae,Asteraceae (probably Chrysothamnus),1,hundreds
10,Colias alexandra,larvae,herb Fabaceae (Astragalus*),1,hundreds
11,Colias eurytheme,larvae,"herb Fabaceae (Medicago, Astragalus)",multiple,very high
12,Colias philodice,larvae,herb Fabaceae (Trifolium),multiple,thousands
13,Coenonympha tullia,larvae,"Poaceae (Stipa, Poa)",1,hundreds
14,Danaus plexippus,adults,herb Asclepiadaceae (Asclepias),migrant,very high
15,Erynnis persius,larvae,"herb Fabaceae (Lupinus*, Astragalus), Ranunculaceae (Aquilegia*)",1,hundreds
16,Euphilotes enoptes,pupae,Polygonaceae (Eriogonum*),1,tens
17,Euphydryas anicia,larvae,Scrophulariaceae (Castilleja),1,hundreds
18,Euchloe ausonides,pupae,"herb Brassicaceae (Sisymbrium*, Descuriana*)",1,thousands
19,Euphydryas editha,larvae,Scrophulariaceae (Castilleja),1,hundreds
20,Euchloe hyantis,pupae,"herb Brassicaceae (Arabis, Caulanthus, Descurania)",1,thousands
21,Everes amyntula,larvae,herb Fabaceae (Astragalus*),1+,hundreds
22,Glaucopsyche lygdamus,pupae,"herb Fabaceae (Lupinus*, Astragalus)",1,hundreds
23,Glaucopsyche piasus,pupae,Fabaceae (Lupinus*),1,hundreds
24,Harkenclenus titus,eggs,Rosaceae (Prunus),1,hundreds
25,Hesperia comma,eggs,"Poaceae (Festuca, Poa, Stipa)",1,hundreds
26,Heliopetes ericetorum,larvae,herb Malvaceae (Sphaeralcea),multiple,very high
27,Hemiargus isola,larvae or pupae,Leguminosae,migrant,very high
28,Hesperia juba,larvae,"Poaceae (Deschampsia, Stipa, Bromus, Poa)",2,thousands
29,Hesperopsis libya,larvae,Atriplex,1-2,hundreds
30,Hesperia uncas,larvae,Poaceae (Bouteloua),1,tens
31,Icaricia acmon,larvae,"Polygonaceae (Eriogonum), Fabaceae (Astragalus, Lupinus)",1+,tens
32,Icaricia icarioides,larvae,Fabaceae (Lupinus*),1+,tens
33,Icaricia lupini,larvae,Polygonaceae (Eriogonum),1+,tens
34,Icaricia shasta,biennial: eggs then larvae,"Fabaceae (Astragalus*, Trifolium, possibly Lupinus)",1,tens
35,Incisalia augustinus,pupae,Rhamnaceae (Ceanothus),1,tens
