canyon,mtnrange,sampled_area,elev_range,riparian_fragmentation,riparian_cover,rabbitbrush_cover,terrain_ruggedness_100,terrain_ruggedness_500,canyon_bottom_100,canyon_bottom_500,mean_precip_1995,mean_precip_1996,mean_precip_1997,mean_precip_1998,mean_precip_1999,mean_precip_2000,mean_precip_2001,mean_precip_2002,mean_precip_2003,mean_precip_2004,mean_precip_2005,mean_precip_2006,mean_precip_2007,mean_precip_2008,mean_precip_2009,mean_precip_2010,mean_precip_2011,mean_precip_2012,mean_precip_2013,mean_precip_2014,mean_maxtemp_1995,mean_maxtemp_1996,mean_maxtemp_1997,mean_maxtemp_1998,mean_maxtemp_1999,mean_maxtemp_2000,mean_maxtemp_2001,mean_maxtemp_2002,mean_maxtemp_2003,mean_maxtemp_2004,mean_maxtemp_2005,mean_maxtemp_2006,mean_maxtemp_2007,mean_maxtemp_2008,mean_maxtemp_2009,mean_maxtemp_2010,mean_maxtemp_2011,mean_maxtemp_2012,mean_maxtemp_2013,mean_maxtemp_2014,mean_mintemp_1995,mean_mintemp_1996,mean_mintemp_1997,mean_mintemp_1998,mean_mintemp_1999,mean_mintemp_2000,mean_mintemp_2001,mean_mintemp_2002,mean_mintemp_2003,mean_mintemp_2004,mean_mintemp_2005,mean_mintemp_2006,mean_mintemp_2007,mean_mintemp_2008,mean_mintemp_2009,mean_mintemp_2010,mean_mintemp_2011,mean_mintemp_2012,mean_mintemp_2013,mean_mintemp_2014
Antone,Toquima,27.06,387,187,0.045,0.28,280.469,297.794,0.428,0.139,707.15,438.59,581.60,750.45,503.82,413.88,371.79,343.79,441.71,373.45,697.61,503.19,428.19,329.56,527.51,417.97,663.69,381.38,370.34,458.21,10.86,13.47,11.88,10.57,11.21,13.56,12.18,12.73,12.79,12.60,11.75,12.70,12.96,12.27,12.53,11.44,11.72,12.94,12.53,12.78,-2.39,-1.32,-1.75,-2.27,-2.31,-0.90,-1.78,-1.49,-0.99,-0.78,-0.96,-0.54,-0.42,-1.44,-0.75,-1.88,-1.38,0.02,-0.25,0.09
Barrett,Shoshone,37.25,664,1349,0.027,0.18,314.945,363.123,0.290,0.108,574.15,346.97,482.20,619.91,420.00,345.69,294.46,290.24,388.26,295.62,503.79,368.80,327.04,263.69,409.50,330.09,497.98,259.85,275.44,363.32,11.23,13.90,12.40,11.26,11.73,14.17,12.90,13.27,13.21,13.18,12.41,13.64,13.81,12.85,13.27,12.27,12.50,13.96,13.32,13.75,-0.43,0.51,0.18,-0.41,-0.49,0.61,0.09,0.40,0.99,0.98,0.96,1.48,0.74,-0.38,0.85,-0.12,0.62,1.85,1.50,2.15
Becker,Shoshone,18.37,241,3222,0.039,0.08,297.147,373.632,0.376,0.075,516.63,313.60,442.81,558.46,378.90,316.49,268.97,267.64,357.03,270.51,451.97,338.07,288.11,239.26,372.79,294.12,442.72,231.82,243.84,330.62,12.02,14.65,13.12,11.93,12.36,14.86,13.61,13.98,13.92,13.83,13.00,14.22,14.46,13.41,13.88,12.89,13.15,14.62,13.91,14.37,-1.00,-0.42,-0.37,-0.90,-1.06,-0.02,-0.50,-0.23,0.37,0.29,0.21,0.67,-0.12,-1.23,-0.04,-0.80,0.01,1.16,0.98,1.51
BigCreek,Toiyabe,36.20,603,,,,,,,,927.00,519.33,613.30,972.39,606.12,442.87,482.43,470.49,546.04,522.54,651.33,557.45,533.79,430.17,650.13,549.54,795.30,389.82,472.03,507.10,9.65,12.34,10.85,9.92,10.30,12.51,11.56,11.79,11.50,12.14,11.54,12.66,12.69,11.89,12.27,11.40,11.45,12.80,12.07,12.47,0.54,1.83,1.16,0.65,0.49,2.00,1.41,1.47,1.80,2.16,2.09,2.57,2.41,1.38,2.44,1.20,1.70,2.74,1.99,2.87
Birch,Toiyabe,50.69,665,42,0.013,0.09,316.327,322.941,0.201,0.063,892.04,515.12,672.83,922.03,620.02,479.81,461.01,486.15,530.36,462.80,702.56,593.83,540.01,414.53,582.16,490.74,739.91,353.31,417.57,514.62,9.35,11.79,10.43,9.34,9.91,12.22,11.13,11.48,11.13,11.68,10.93,11.97,12.20,11.41,11.89,10.98,10.96,12.26,11.57,11.94,-0.42,0.88,0.22,-0.33,-0.45,1.13,0.53,0.66,0.92,1.42,1.28,1.87,1.64,0.59,1.62,0.43,0.94,1.98,1.23,2.13
Clear,Toiyabe,36.74,1015,,,,,,,,727.82,433.26,646.86,789.29,531.54,455.74,365.13,378.43,476.05,378.48,642.36,486.72,427.83,334.66,523.86,419.92,616.11,337.39,365.00,458.84,9.91,12.47,10.98,9.79,10.25,12.68,11.47,11.90,11.72,11.89,11.02,12.08,12.42,11.59,11.97,10.97,11.11,12.51,11.90,12.28,-1.79,-0.73,-1.11,-1.70,-1.92,-0.42,-1.15,-1.02,-0.46,-0.04,-0.18,0.25,-0.05,-1.24,-0.19,-1.20,-0.60,0.58,0.17,0.85
Corcoran,Toquima,44.70,298,,,,,,,,561.64,341.46,453.57,592.71,392.04,318.01,301.08,263.36,345.53,293.25,554.14,388.36,322.45,254.64,408.64,329.49,515.20,302.18,292.01,357.38,12.31,15.05,13.37,12.04,12.76,15.15,13.58,14.23,14.37,13.87,13.03,14.11,14.31,13.55,13.88,12.66,13.04,14.33,13.86,14.15,-1.74,-0.72,-1.07,-1.62,-1.68,-0.36,-1.30,-0.89,-0.32,-0.51,-0.66,-0.38,-0.41,-1.47,-0.58,-1.68,-1.08,0.42,0.31,0.56
Cottonwood,Toiyabe,18.80,184,,,,,,,,473.36,267.12,379.74,520.36,331.04,267.55,245.80,245.19,307.68,229.79,394.54,306.99,267.54,215.13,303.71,263.81,395.57,185.92,198.97,309.88,13.22,15.85,14.31,13.19,13.72,16.16,14.79,15.20,15.19,14.94,14.08,15.41,15.59,14.59,15.11,13.99,14.26,15.80,15.08,15.47,-0.05,0.73,0.46,-0.06,-0.22,0.98,0.33,0.57,1.25,1.14,1.03,1.36,0.71,-0.39,0.89,0.05,0.63,1.68,1.54,2.10
Jett,Toiyabe,31.63,389,1,0.295,0.04,333.232,392.331,0.237,0.042,597.87,366.35,501.83,637.25,425.62,349.92,314.42,281.18,375.04,313.72,589.24,417.07,352.25,271.91,434.86,349.37,550.48,318.35,316.61,393.20,12.26,14.91,13.28,11.99,12.63,15.03,13.57,14.11,14.25,13.91,13.06,14.02,14.26,13.56,13.86,12.75,13.06,14.29,13.89,14.15,-1.17,-0.26,-0.67,-1.05,-1.17,0.17,-0.69,-0.41,0.10,0.28,0.12,0.55,0.63,-0.42,0.38,-0.79,-0.26,1.06,0.91,1.19
Jefferson,Toquima,48.82,649,,,,,,,,605.32,350.32,507.70,624.13,427.62,350.56,306.11,280.56,387.71,303.84,560.89,402.85,331.36,266.63,409.84,335.37,510.09,295.14,295.54,392.85,12.22,14.81,13.24,11.91,12.54,15.03,13.60,14.09,14.04,14.09,13.13,14.10,14.39,13.71,14.08,12.95,13.08,14.45,14.11,14.39,-0.22,0.90,0.55,-0.04,-0.30,1.11,0.30,0.45,0.92,1.34,1.22,1.53,1.48,0.54,1.31,0.21,0.90,1.87,1.50,2.06
