transect,canyon,range,transect_area,elev_mean,tri_Riley,precip_1995,precip_1996,precip_1997,precip_1998,precip_1999,precip_2000,precip_2001,precip_2002,precip_2003,precip_2004,precip_2005,precip_2006,precip_2007,precip_2008,precip_2009,precip_2010,precip_2011,precip_2012,precip_2013,precip_2014,maxtemp_1995,maxtemp_1996,maxtemp_1997,maxtemp_1998,maxtemp_1999,maxtemp_2000,maxtemp_2001,maxtemp_2002,maxtemp_2003,maxtemp_2004,maxtemp_2005,maxtemp_2006,maxtemp_2007,maxtemp_2008,maxtemp_2009,maxtemp_2010,maxtemp_2011,maxtemp_2012,maxtemp_2013,maxtemp_2014,mintemp_1995,mintemp_1996,mintemp_1997,mintemp_1998,mintemp_1999,mintemp_2000,mintemp_2001,mintemp_2002,mintemp_2003,mintemp_2004,mintemp_2005,mintemp_2006,mintemp_2007,mintemp_2008,mintemp_2009,mintemp_2010,mintemp_2011,mintemp_2012,mintemp_2013,mintemp_2014,nectar_2013,nectar_2014,mud_2013,mud_2014
AN01,Antone,Toquima,10.5034,2402,651.95,663.72,412.24,545.34,707.66,469.91,386.82,350.77,318,415.29,349.26,657.1,469.15,396.51,307.59,491,391.43,621.53,353.06,349.5,429.77,11.60,14.27,12.63,11.31,11.98,14.35,12.88,13.47,13.62,13.19,12.37,13.34,13.62,12.91,13.18,12.03,12.37,13.58,13.18,13.45,-2.23,-1.16,-1.57,-2.12,-2.10,-0.77,-1.71,-1.34,-0.83,-0.79,-0.96,-0.53,-0.40,-1.41,-0.75,-1.86,-1.38,0.13,-0.03,0.20,3,3,3,2
AN02,Antone,Toquima,7.55255,2496,720.82,663.72,412.24,545.34,707.66,469.91,386.82,350.77,318,415.29,349.26,657.1,469.15,396.51,307.59,491,391.43,621.53,353.06,349.5,429.77,11.60,14.27,12.63,11.31,11.98,14.35,12.88,13.47,13.62,13.19,12.37,13.34,13.62,12.91,13.18,12.03,12.37,13.58,13.18,13.45,-2.23,-1.16,-1.57,-2.12,-2.10,-0.77,-1.71,-1.34,-0.83,-0.79,-0.96,-0.53,-0.40,-1.41,-0.75,-1.86,-1.38,0.13,-0.03,0.20,3,3,1,2
AN03,Antone,Toquima,5.25519,2600,774.12,663.72,412.24,545.34,707.66,469.91,386.82,350.77,318,415.29,349.26,657.1,469.15,396.51,307.59,491,391.43,621.53,353.06,349.5,429.77,11.60,14.27,12.63,11.31,11.98,14.35,12.88,13.47,13.62,13.19,12.37,13.34,13.62,12.91,13.18,12.03,12.37,13.58,13.18,13.45,-2.23,-1.16,-1.57,-2.12,-2.10,-0.77,-1.71,-1.34,-0.83,-0.79,-0.96,-0.53,-0.40,-1.41,-0.75,-1.86,-1.38,0.13,-0.03,0.20,3,2,1,2
AN04,Antone,Toquima,3.74613,2711,764.66,837.44,517.65,690.38,878.83,605.54,495.04,434.85,421.14,520.96,446.03,819.15,605.29,523.22,395.48,637.04,497.59,790.17,466.34,432.84,543.54,8.66,11.08,9.61,8.35,8.88,11.18,10.05,10.50,10.33,10.84,9.91,10.76,10.98,10.35,10.58,9.66,9.77,11.00,10.58,10.78,-2.90,-1.82,-2.31,-2.74,-2.93,-1.32,-1.98,-1.92,-1.50,-0.74,-0.98,-0.56,-0.49,-1.54,-0.73,-1.96,-1.37,-0.32,-0.90,-0.23,3,2,0,1
BA01,Barrett,Shoshone,7.87732,2150,579.94,477.78,287.79,415.28,528.59,356.09,300.99,250.45,244.59,331.98,248.66,421.64,309.36,262.11,221,342.41,268.23,410.21,220.48,224.52,314.44,12.50,15.23,13.68,12.48,12.98,15.48,14.08,14.50,14.54,14.23,13.37,14.68,14.87,13.77,14.29,13.28,13.56,15.11,14.46,14.86,-1.13,-0.45,-0.60,-1.21,-1.31,-0.30,-0.83,-0.54,0.18,0.07,0.05,0.42,-0.45,-1.58,-0.33,-1.10,-0.38,0.82,0.81,1.31,2,1,0,0
BA02,Barrett,Shoshone,10.357,2258,801.50,477.78,287.79,415.28,528.59,356.09,300.99,250.45,244.59,331.98,248.66,421.64,309.36,262.11,221,342.41,268.23,410.21,220.48,224.52,314.44,12.50,15.23,13.68,12.48,12.98,15.48,14.08,14.50,14.54,14.23,13.37,14.68,14.87,13.77,14.29,13.28,13.56,15.11,14.46,14.86,-1.13,-0.45,-0.60,-1.21,-1.31,-0.30,-0.83,-0.54,0.18,0.07,0.05,0.42,-0.45,-1.58,-0.33,-1.10,-0.38,0.82,0.81,1.31,2,1,0,0
BA03,Barrett,Shoshone,7.47047,2392,798.08,645.16,393.95,546.61,696.98,472.69,390.39,329.44,328.17,430.28,333.76,568.95,416.81,374.65,296.16,466.36,374.65,562.35,292.35,315.47,405.12,10.32,12.95,11.50,10.36,10.79,13.21,12.03,12.39,12.22,12.35,11.62,12.84,13.02,12.13,12.48,11.53,11.72,13.11,12.45,12.90,-0.13,0.97,0.50,-0.07,-0.16,0.98,0.49,0.80,1.36,1.42,1.48,2.02,1.30,0.20,1.38,0.33,1.11,2.38,1.87,2.57,3,2,2,2
BA04,Barrett,Shoshone,3.97738,2506,753.24,645.16,393.95,546.61,696.98,472.69,390.39,329.44,328.17,430.28,333.76,568.95,416.81,374.65,296.16,466.36,374.65,562.35,292.35,315.47,405.12,10.32,12.95,11.50,10.36,10.79,13.21,12.03,12.39,12.22,12.35,11.62,12.84,13.02,12.13,12.48,11.53,11.72,13.11,12.45,12.90,-0.13,0.97,0.50,-0.07,-0.16,0.98,0.49,0.80,1.36,1.42,1.48,2.02,1.30,0.20,1.38,0.33,1.11,2.38,1.87,2.57,3,2,0,2
BA05,Barrett,Shoshone,3.90421,2650,929.20,591.05,355.1,483.87,629.42,427.48,345.7,300.48,295.39,397.76,301.49,515.11,376.42,338.59,270.5,416.31,341.62,513.58,264.42,282.71,368.04,11.00,13.65,12.16,11.04,11.53,13.93,12.71,13.03,12.98,13.03,12.29,13.48,13.63,12.72,13.12,12.09,12.33,13.76,13.13,13.58,-0.13,0.97,0.50,-0.07,-0.16,0.98,0.49,0.80,1.36,1.42,1.48,2.02,1.30,0.20,1.38,0.33,1.11,2.38,1.87,2.57,3,2,0,1
BA06,Barrett,Shoshone,1.29328,2741,496.18,591.05,355.1,483.87,629.42,427.48,345.7,300.48,295.39,397.76,301.49,515.11,376.42,338.59,270.5,416.31,341.62,513.58,264.42,282.71,368.04,11.00,13.65,12.16,11.04,11.53,13.93,12.71,13.03,12.98,13.03,12.29,13.48,13.63,12.72,13.12,12.09,12.33,13.76,13.13,13.58,-0.18,0.78,0.47,-0.13,-0.16,0.95,0.41,0.74,1.23,1.24,1.10,1.73,1.10,-0.06,1.24,0.18,0.88,2.09,1.63,2.36,3,2,1,1
