observer,range,canyon,year,date,segment,primary visit,secondary visit,sppcode,sppname,abundance,resident,montane,nectar,water,number at nectar
.,Toiyabe,Summit,1995,1-Jun-1995,SU01,1,.,ANSA,Anthocharis sara,.,1,1,.,.,.
.,Toiyabe,Summit,1995,1-Jun-1995,SU02,1,.,ANSA,Anthocharis sara,.,1,1,.,.,.
.,Toiyabe,Summit,1995,1-Jun-1995,SU03,1,.,ANSA,Anthocharis sara,.,1,1,.,.,.
.,Toiyabe,Summit,1995,1-Jun-1995,SU04,1,.,ANSA,Anthocharis sara,.,1,1,.,.,.
.,Toiyabe,Summit,1995,1-Jun-1995,SU05,1,.,ANSA,Anthocharis sara,.,1,1,.,.,.
.,Toiyabe,Ophir,1995,4-Jun-1995,OP01,1,.,ANSA,Anthocharis sara,.,1,1,.,.,.
.,Toiyabe,Ophir,1995,4-Jun-1995,OP02,1,.,ANSA,Anthocharis sara,.,1,1,.,.,.
.,Toiyabe,Ophir,1995,4-Jun-1995,OP03,1,.,ANSA,Anthocharis sara,.,1,1,.,.,.
.,Toiyabe,Ophir,1995,4-Jun-1995,OP04,1,.,ANSA,Anthocharis sara,.,1,1,.,.,.
.,Toiyabe,Kingston,1995,13-Jun-1995,KI01,1,.,ANSA,Anthocharis sara,.,1,1,.,.,.
.,Toiyabe,Kingston,1995,13-Jun-1995,KI03,1,.,ANSA,Anthocharis sara,.,1,1,.,.,.
.,Toiyabe,Ophir,1995,18-Jun-1995,OP02,2,.,ANSA,Anthocharis sara,.,1,1,.,.,.
.,Toiyabe,Summit,1995,18-Jun-1995,SU05,2,.,ANSA,Anthocharis sara,.,1,1,.,.,.
.,Toiyabe,Summit,1995,18-Jun-1995,SU07,2,.,ANSA,Anthocharis sara,.,1,1,.,.,.
.,Toiyabe,Washington,1995,19-Jun-1995,WS02,1,.,ANSA,Anthocharis sara,.,1,1,.,.,.
.,Toiyabe,Jett,1995,20-Jun-1995,JE03,1,.,ANSA,Anthocharis sara,.,1,1,.,.,.
.,Toiyabe,Wall,1995,21-Jun-1995,WA06,1,.,ANSA,Anthocharis sara,.,1,1,.,.,.
.,Toiyabe,Birch,1995,22-Jun-1995,BI04,1,.,ANSA,Anthocharis sara,.,1,1,.,.,.
.,Toiyabe,Kingston,1995,24-Jun-1995,KI02,2,.,ANSA,Anthocharis sara,.,1,1,.,.,.
.,Toiyabe,Ophir,1995,25-Jun-1995,OP03,3,.,ANSA,Anthocharis sara,.,1,1,.,.,.
.,Toiyabe,Ophir,1995,25-Jun-1995,OP04,3,.,ANSA,Anthocharis sara,.,1,1,.,.,.
.,Toiyabe,Ophir,1995,25-Jun-1995,OP06,3,.,ANSA,Anthocharis sara,.,1,1,.,.,.
.,Toiyabe,San Juan,1995,27-Jun-1995,SJ01,2,.,ANSA,Anthocharis sara,.,1,1,.,.,.
.,Toiyabe,San Juan,1995,27-Jun-1995,SJ03,2,.,ANSA,Anthocharis sara,.,1,1,.,.,.
.,Toquima,Petes East,1996,17-May-1996,PT03,1,.,ANSA,Anthocharis sara,.,1,1,.,.,.
.,Toiyabe,North Twin,1996,9-Jun-1996,NT05,1,.,ANSA,Anthocharis sara,.,1,1,.,.,.
.,Toquima,Antone,1997,11-May-1997,AN03,1,.,ANSA,Anthocharis sara,A,1,1,.,.,.
.,Toquima,Moores West,1997,14-May-1997,MW04,1,.,ANSA,Anthocharis sara,A,1,1,.,.,.
.,Toquima,Meadow,1997,22-May-1997,MD03,2,.,ANSA,Anthocharis sara,A,1,1,.,.,.
.,Toquima,Northumberland West,1998,20-Jun-1998,NW04,1,.,ANSA,Anthocharis sara,A,1,1,.,.,.
.,Toquima,Northumberland West,1998,20-Jun-1998,NW05,1,.,ANSA,Anthocharis sara,A,1,1,.,.,.
.,Toquima,Northumberland West,1998,20-Jun-1998,NW06,1,.,ANSA,Anthocharis sara,A,1,1,.,.,.
.,Toquima,Meadow,1998,27-Jun-1998,MD01,1,.,ANSA,Anthocharis sara,C,1,1,.,.,.
.,Shoshone,Underdown,2000,2-Jun-2000,UN03,1,.,ANSA,Anthocharis sara,B,1,1,.,.,.
.,Shoshone,Becker,2000,4-Jun-2000,BE02,1,.,ANSA,Anthocharis sara,A,1,1,.,.,.
.,Shoshone,Underdown,2002,3-Jun-2002,UN04,1,.,ANSA,Anthocharis sara,A,1,1,.,.,.
.,Shoshone,Becker,2002,4-Jun-2002,BE01,1,.,ANSA,Anthocharis sara,A,1,1,.,.,.
.,Shoshone,Barrett,2002,5-Jun-2002,BA04,1,.,ANSA,Anthocharis sara,A,1,1,.,.,.
.,Shoshone,War Eagle,2002,5-Jun-2002,WE03,1,.,ANSA,Anthocharis sara,A,1,1,.,.,.
.,Shoshone,Barrett,2003,1-Jun-2003,BA03,1,.,ANSA,Anthocharis sara,A,1,1,.,.,.
.,Shoshone,Barrett,2003,1-Jun-2003,BA04,1,.,ANSA,Anthocharis sara,B,1,1,.,.,.
.,Shoshone,Riley,2003,2-Jun-2003,RI01,1,.,ANSA,Anthocharis sara,B,1,1,.,.,.
.,Shoshone,Riley,2003,2-Jun-2003,RI04,1,.,ANSA,Anthocharis sara,B,1,1,.,.,.
.,Shoshone,Underdown,2003,2-Jun-2003,UN03,1,.,ANSA,Anthocharis sara,A,1,1,.,.,.
.,Shoshone,Underdown,2003,2-Jun-2003,UN04,1,.,ANSA,Anthocharis sara,A,1,1,.,.,.
EF,Shoshone,Underdown,2005,1-Jun-2005,UN02,1,.,ANSA,Anthocharis sara,.,1,1,.,.,.
EF,Shoshone,Underdown,2005,1-Jun-2005,UN03,1,.,ANSA,Anthocharis sara,.,1,1,.,.,.
EF,Shoshone,Underdown,2005,1-Jun-2005,UN04,1,.,ANSA,Anthocharis sara,.,1,1,.,.,.
EF,Shoshone,Riley,2005,2-Jun-2005,RI02,1,.,ANSA,Anthocharis sara,.,1,1,.,.,.
