canyon,range,centroid x (NAD83 zone 11),centroid y (NAD83 zone 11),sampled area (ha),canyon area (ha),elevational range (m)
Allison,Monitor,546650,4350540,28.26,1914.44,326
Antone,Toquima,506495,4279500,25,858.211,370
Barley,Monitor,529519,4276510,50,1771.99,225
Barrett,Shoshone,455186,4327650,38,1138.96,536
Becker,Shoshone,459245,4329410,19,598.789,254
Big Creek,Toiyabe,489582,4352110,41,1424.48,640
Birch,Toiyabe,496330,4361300,62.8,2188.37,712
Charnoc North,Monitor,545927,4349380,16,287.693,85
Charnoc South,Monitor,545269,4346030,16,242.565,41
Dobbin East,Monitor,543184,4307700,28,1201.4,395
Dobbin West,Monitor,539862,4312430,28,1611.45,395
Elkhorn,Monitor,530188,4271290,13,25.888,100
Grass Springs,Toiyabe,499058,4370640,31,69.5101,50
Jett,Toiyabe,479726,4287030,28,748.847,284
Kingston,Toiyabe,485745,4344740,47,2879.45,707
Meadow,Toquima,508769,4280800,38,1974.99,434
Moores East,Toquima,511439,4301950,25,1426.04,374
Moores West,Toquima,505412,4302260,31,1502.87,444
Northumberland East,Toquima,511992,4309550,31.4,1806.15,458
Northumberland West,Toquima,511160,4314710,35,1494.69,590
Ophir,Toiyabe,475514,4310640,47.1,1380.48,1077
Petes East,Toquima,519490,4336380,19,933.318,221
Petes West,Toquima,516631,4340540,31,1635.09,449
Riley,Shoshone,462592,4332260,31,1325.71,504
Ryegrass,Monitor,547018,4337660,22,1570.91,298
San Juan,Toiyabe,476235,4330360,35,1238.16,475
Schoonover,Shoshone,459677,4341140,38,1223.83,387
Stewart,Toiyabe,468337,4304780,38,728.467,668
Summit,Toiyabe,477216,4314110,38,926.687,674
Underdown,Shoshone,463358,4335490,65.94,1568.83,641
Wall,Toiyabe,476871,4282730,56.52,1662.67,579
Wallace,Monitor,541426,4351830,41,2444.84,321
Washington,Toiyabe,479545,4333920,47,1344.11,487
White Sage,Monitor,541232,4338050,19,2157.46,314
