canyon,mtnrange,elev_range,riparian_fragmentation,canyon_area,riparian_ cover,sagebrush_cover,rabbitbrush_cover,terrain_ruggedness_100,terrain_ruggedness_500,canopy_cover_100,canopy_cover_500,canyon_bottom_100,canyon_bottom_500,2001_total_precip_MarAprMay,2002_total_precip_MarAprMay,2003_total_precip_MarAprMay,2004_total_precip_MarAprMay,2005_total_precip_MarAprMay,2006_total_precip_MarAprMay,2007_total_precip_MarAprMay,2008_total_precip_MarAprMay,2009_total_precip_MarAprMay,2010_total_precip_MarAprMay,2011_total_precip_MarAprMay,2012_total_precip_MarAprMay,2013_total_precip_MarAprMay,2014_total_precip_MarAprMay,2015_total_precip_MarAprMay,2001_maxtemp_MarAprMay,2002_maxtemp_MarAprMay,2003_maxtemp_MarAprMay,2004_maxtemp_MarAprMay,2005_maxtemp_MarAprMay,2006_maxtemp_MarAprMay,2007_maxtemp_MarAprMay,2008_maxtemp_MarAprMay,2009_maxtemp_MarAprMay,2010_maxtemp_MarAprMay,2011_maxtemp_MarAprMay,2012_maxtemp_MarAprMay,2013_maxtemp_MarAprMay,2014_maxtemp_MarAprMay,2015_maxtemp_MarAprMay,2001_mintemp_MarAprMay,2002_mintemp_MarAprMay,2003_mintemp_MarAprMay,2004_mintemp_MarAprMay,2005_mintemp_MarAprMay,2006_mintemp_MarAprMay,2007_mintemp_MarAprMay,2008_mintemp_MarAprMay,2009_mintemp_MarAprMay,2010_mintemp_MarAprMay,2011_mintemp_MarAprMay,2012_mintemp_MarAprMay,2013_mintemp_MarAprMay,2014_mintemp_MarAprMay,2015_mintemp_MarAprMay,2001_mean_maxtemp_MarAprMay,2002_mean_maxtemp_MarAprMay,2003_mean_maxtemp_MarAprMay,2004_mean_maxtemp_MarAprMay,2005_mean_maxtemp_MarAprMay,2006_mean_maxtemp_MarAprMay,2007_mean_maxtemp_MarAprMay,2008_mean_maxtemp_MarAprMay,2009_mean_maxtemp_MarAprMay,2010_mean_maxtemp_MarAprMay,2011_mean_maxtemp_MarAprMay,2012_mean_maxtemp_MarAprMay,2013_mean_maxtemp_MarAprMay,2014_mean_maxtemp_MarAprMay,2015_mean_maxtemp_MarAprMay,2001_mean_mintemp_MarAprMay,2002_mean_mintemp_MarAprMay,2003_mean_mintemp_MarAprMay,2004_mean_mintemp_MarAprMay,2005_mean_mintemp_MarAprMay,2006_mean_mintemp_MarAprMay,2007_mean_mintemp_MarAprMay,2008_mean_mintemp_MarAprMay,2009_mean_mintemp_MarAprMay,2010_mean_mintemp_MarAprMay,2011_mean_mintemp_MarAprMay,2012_mean_mintemp_MarAprMay,2013_mean_mintemp_MarAprMay,2014_mean_mintemp_MarAprMay,2015_mean_mintemp_MarAprMay
Allison,Monitor,326,823,1914.44,0.042,0.37,0.15,226.968,252.748,0.258,0.329,0.275,0.128,81.81666667,72.02222222,116.9788889,60.36777778,157.1111111,118.8411111,77.47333333,39.53555556,90.11666667,110.0122222,137.58,71.43444444,45.26666667,84.47,98.24555556,20.26666667,16.16666667,16.55555556,17.51111111,15.4,18.15555556,18.64444444,14.55555556,18.9,12.03333333,12.34444444,18.04444444,16.54444444,16.81111111,14.06666667,-4.1,-7.8,-5.555555556,-1.766666667,-4.7,-8.188888889,-3.177777778,-6.077777778,-5.711111111,-6.211111111,-5.788888889,-4.255555556,-2.811111111,-3.755555556,-2.422222222,12.51,11.39,11.01,13.77,10.87,11.15,13.63,11.29,12.18,9.22,9.50,13.16,12.38,12.43,12.34,-1.26,-2.94,-2.28,-0.27,-1.63,-2.13,-0.35,-3.38,-1.65,-4.11,-3.24,-0.97,-1.14,-0.97,-0.53
Antone,Toquima,370,187,858.211,0.045,0.36,0.28,280.469,297.794,0.048,0.044,0.428,0.139,135.7575,119.19,198.5,99,287.2775,192.4725,137.8625,70.545,170.4375,185.805,250.8825,113.7925,84.2675,135.0675,146.55,18,14.5,14.725,15,13.5,15.8,16.1,12.4,16.875,9.675,10.6,15.5,14.6,14.7,11.8,-6.025,-9.675,-8,-3.1,-6.475,-9.675,-4.75,-7.1,-7.525,-7.55,-7.225,-5.95,-4.675,-5.275,-4.375,10.60,9.75,9.21,11.76,9.23,8.84,11.63,9.37,10.28,7.31,7.82,10.88,10.78,10.58,10.23,-3.28,-4.88,-4.63,-1.84,-3.55,-3.50,-1.88,-4.61,-3.33,-5.74,-5.13,-2.51,-2.73,-2.61,-2.63
Barley,Monitor,225,61,1771.99,0.082,0.34,0.19,253.283,298.906,0.174,0.278,0.431,0.116,120.38,101.6475,166.46625,89.810625,245.841875,169.07,110.710625,54.883125,137.175625,160.55875,206.35375,99.411875,72.104375,111.4575,116.4725,20.08125,16.45,16.63125,17.2,15.55,18.08125,18.38125,14.63125,19.08125,11.8,12.45,17.8,16.55,16.66875,13.95,-4.575,-8.44375,-6.25625,-2.08125,-4.9375,-8.2375,-3.63125,-6.16875,-6.03125,-6.4625,-6.19375,-4.575,-3.15625,-4.20625,-2.55625,12.41,11.66,11.06,13.68,10.93,10.83,13.52,11.34,12.29,8.98,9.79,12.80,12.56,12.30,12.14,-1.87,-3.59,-2.93,-0.65,-2.01,-2.28,-0.83,-3.69,-2.03,-4.52,-3.68,-1.25,-1.36,-1.45,-0.85
Barrett,Shoshone,536,1349,1138.96,0.027,0.48,0.18,314.945,363.123,0.102,0.197,0.290,0.108,105.745,97.99833333,156.0383333,80.39166667,214.3733333,149.3516667,108.9233333,62.52166667,126.2433333,147.4916667,178.0516667,93.555,60.61666667,106.8016667,130.6416667,19.23333333,15.1,14.98333333,15.8,14.2,17.08333333,17.1,13.05,17.73333333,10.46666667,11.6,16.51666667,15.33333333,16,12.68333333,-3.7,-7.433333333,-5.316666667,-1.633333333,-3.75,-7.6,-2.983333333,-5.883333333,-5.733333333,-5.55,-5.066666667,-3.466666667,-3.166666667,-2.566666667,-3.7,11.56,10.51,9.60,12.65,10.19,10.24,12.57,10.06,11.08,8.31,8.68,11.97,11.32,11.76,11.05,-1.07,-2.88,-2.54,-0.15,-1.11,-1.59,-0.66,-3.17,-1.64,-3.74,-3.06,-0.38,-0.71,-0.11,-1.69
Becker,Shoshone,254,3222,598.789,0.039,0.22,0.08,297.147,373.632,0.532,0.451,0.376,0.075,94.91,87.97333333,140.21,73.15333333,187.7966667,134.9533333,95.58666667,58.67,111.25,130.1266667,153.7633333,81.87666667,53.41666667,94.65666667,121.2366667,20.2,15.96666667,15.83333333,16.7,15.3,17.86666667,18.03333333,13.9,18.63333333,11.43333333,12.63333333,17.46666667,16.33333333,16.93333333,13.83333333,-3.566666667,-7.366666667,-5.2,-2.166666667,-4.033333333,-7.566666667,-3.4,-6.133333333,-6.3,-5.666666667,-5.333333333,-3.7,-2.866666667,-2.766666667,-3.266666667,12.41,11.43,10.48,13.53,11.04,11.01,13.42,10.84,11.91,9.17,9.60,12.83,12.26,12.61,12.10,-1.10,-3.02,-2.49,-0.53,-1.34,-1.69,-1.13,-3.46,-2.12,-3.77,-3.17,-0.68,-0.78,-0.28,-1.23
Birch,Toiyabe,712,42,2188.37,0.013,0.32,0.09,316.327,322.941,0.126,0.102,0.201,0.063,139.15625,133.575625,191.658125,98.086875,240.94875,191.7875,135.299375,79.973,149.644,183.5555,215.5665,115.4675,79.859,134.0115,122.14,20.00625,15.41875,16.1375,16.4125,15.40625,17.525,18.025,14.89,19.175,11.925,12.945,17.955,16.83,17.855,14.6,-2.55,-6.33125,-4.15,0.41875,-2.75625,-6.10625,-0.95625,-3.96,-3.85,-3.695,-3.165,-2.125,-1.5,-1.555,-0.93,12.44,11.03,10.46,13.15,11.12,11.05,13.36,11.51,12.49,9.95,10.00,13.40,12.79,13.36,12.88,0.29,-1.46,-1.12,1.60,0.04,-0.24,1.43,-1.30,0.17,-2.10,-1.46,0.94,0.61,1.09,1.00
CharnocNorth,Monitor,85,451,287.693,0.003,0.76,0.19,214.497,269.243,0.132,0.270,0.000,0.053,88.64,79.75,125.73,66.29,169.92,129.03,84.59,43.94,99.57,120.4,149.86,78.49,49.53,90.93,102.62,19,14.9,15.3,16.3,14.2,16.9,17.4,13.3,17.7,10.9,11.2,16.8,15.3,15.6,12.8,-4.5,-8.4,-6.2,-1.9,-5.1,-8.6,-3.3,-6.3,-6,-6.3,-6.1,-4.4,-3.1,-3.9,-2.6,11.37,10.23,9.77,12.60,9.73,9.97,12.43,9.97,11.03,8.20,8.33,11.90,11.13,11.17,11.07,-1.70,-3.47,-2.93,-0.60,-2.10,-2.53,-0.53,-3.60,-1.97,-4.37,-3.67,-1.17,-1.37,-1.20,-0.70
CharnocSouth,Monitor,41,3305,242.565,0.000,0.47,0.28,187.703,217.527,0.039,0.164,0.330,0.205,88.9,76.71,123.95,64.27,167.64,127.26,82.3,42.68,97.54,118.36,145.03,77.22,48.77,89.67,100.07,19.4,15.4,15.8,16.7,14.6,17.3,17.9,13.8,18.2,11.4,11.7,17.2,15.7,16,13.2,-3.9,-7.8,-5.7,-1.5,-4.6,-8.1,-2.9,-5.9,-5.6,-5.9,-5.7,-3.9,-2.6,-3.5,-2.2,11.70,10.63,10.20,12.93,10.10,10.37,12.83,10.50,11.47,8.60,8.73,12.17,11.40,11.47,11.33,-1.27,-3.03,-2.43,-0.13,-1.60,-2.07,-0.23,-3.30,-1.67,-4.03,-3.33,-0.77,-1.03,-0.73,-0.37
DobbinEast,Monitor,395,1253,1201.4,0.006,0.25,0.06,259.535,280.649,0.272,0.474,0.379,0.194,119.6655556,113.3077778,163.8622222,89.28666667,235.79,168.9988889,115.2533333,63.08444444,140.2077778,167.5222222,203.2811111,105.7177778,71.65777778,116.4977778,121.2188889,18.81111111,15.2,15.5,16.4,14.2,17,17.31111111,13.5,18,11.11111111,11.5,16.7,15.31111111,15.51111111,12.61111111,-4.666666667,-8.377777778,-6.222222222,-1.866666667,-4.877777778,-8.366666667,-3.366666667,-6.266666667,-5.877777778,-6.544444444,-6.455555556,-4.355555556,-2.788888889,-3.777777778,-2.6,11.37,10.56,10.06,12.83,9.90,9.97,12.57,10.41,11.52,8.28,8.89,11.83,11.32,11.17,11.00,-1.91,-3.62,-2.88,-0.57,-1.95,-2.40,-0.70,-3.73,-1.91,-4.56,-3.71,-1.10,-1.13,-1.07,-0.76
DobbinWest,Monitor,395,2664,1611.45,0.005,0.51,0.13,223.326,231.036,0.246,0.325,0.627,0.258,108.2866667,99.45222222,147.9122222,79.44222222,211.0177778,152.3755556,103.5166667,55.63,124.8844444,149.6322222,181.36,94.84888889,63.78222222,105.4055556,112.4633333,19.44444444,15.61111111,15.91111111,16.66666667,14.66666667,17.4,17.8,13.84444444,18.33333333,11.4,11.83333333,17.11111111,15.82222222,16.07777778,13.23333333,-4.311111111,-7.833333333,-6.044444444,-1.9,-4.833333333,-8.155555556,-3.455555556,-6.155555556,-5.933333333,-6.277777778,-6.3,-4.366666667,-2.933333333,-3.866666667,-2.744444444,11.81,10.89,10.44,13.09,10.26,10.36,12.96,10.71,11.65,8.62,9.04,12.34,11.80,11.74,11.54,-1.55,-3.19,-2.58,-0.41,-1.84,-2.23,-0.70,-3.54,-1.81,-4.25,-3.55,-1.13,-1.34,-1.10,-0.96
