point,N83Z11XXX,N83Z11YYY,Id,Latitude,Longitude
AN01.1,508271,4280080,AN01.1,38.6693,-116.9049
AN01.2,507742,4279834,AN01.2,38.6671,-116.911
AN01.3,507392,4279847,AN01.3,38.6672,-116.915
AN02.1,506905,4279511,AN02.1,38.6641,-116.9206
AN02.2,506461,4279457,AN02.2,38.6637,-116.9257
AN03.1,505591,4279341,AN03.1,38.6626,-116.9357
AN03.2,505178,4279056,AN03.2,38.6601,-116.9405
AN04.1,504693,4278945,AN04.1,38.6591,-116.9461
BA01.1,457842,4326960,BA01.1,39.0907,-117.4875
BA01.2,457435,4327193,BA01.2,39.0928,-117.4922
BA02.1,456127,4327497,BA02.1,39.0955,-117.5073
BA02.2,455870,4327620,BA02.2,39.0966,-117.5103
BA03.1,454833,4327629,BA03.1,39.0966,-117.5223
BA03.2,454493,4327634,BA03.2,39.0967,-117.5263
BA04.1,453911,4327755,BA04.1,39.0977,-117.533
BA04.2,453813,4327895,BA04.2,39.099,-117.5341
BA05.1,453507,4328236,BA05.1,39.102,-117.5377
BA05.2,453312,4328349,BA05.2,39.103,-117.54
BA06.1,453038,4328612,BA06.1,39.1054,-117.5431
BA06.2,452941,4328666,BA06.2,39.1059,-117.5443
BC01.1,488299,4355108,BC01.1,39.3453,-117.1358
BC01.2,489305,4354221,BC01.2,39.3373,-117.1241
BC02.1,489637,4353029,BC02.1,39.3266,-117.1202
BC02.2,489482,4352656,BC02.2,39.3232,-117.122
BC03.1,489579,4351331,BC03.1,39.3113,-117.1209
BC03.2,489675,4350772,BC03.2,39.3063,-117.1198
BC04.1,489697,4350380,BC04.1,39.3027,-117.1195
BC04.2,489724,4350035,BC04.2,39.2996,-117.1192
BC05.1,489980,4349552,BC05.1,39.2953,-117.1162
BC05.2,490058,4349408,BC05.2,39.294,-117.1153
BC06.1,489914,4349364,BC06.1,39.2936,-117.117
BC06.2,489807,4349465,BC06.2,39.2945,-117.1182
BC07.1,489789,4349280,BC07.1,39.2928,-117.1184
BE01.1,459535,4327971,BE01.1,39.0999,-117.468
BE01.2,459363,4328408,BE01.2,39.1039,-117.47
BE02.1,459244,4329392,BE02.1,39.1127,-117.4714
BE02.2,459307,4329527,BE02.2,39.1139,-117.4707
BE03.1,459789,4330635,BE03.1,39.124,-117.4652
BE03.2,459844,4330725,BE03.2,39.1248,-117.4646
BI01.1,498887,4358987,BI01.1,39.3804,-117.0129
BI01.2,498570,4359048,BI01.2,39.3809,-117.0166
BI02.1,497584,4359812,BI02.1,39.3878,-117.0281
BI02.2,497212,4360036,BI02.2,39.3898,-117.0324
BI03.1,497171,4360414,BI03.1,39.3932,-117.0329
BI03.2,496976,4360740,BI03.2,39.3962,-117.0351
BI03.3,496572,4361012,BI03.3,39.3986,-117.0398
BI04.1,496016,4362190,BI04.1,39.4092,-117.0463
BI04.2,495899,4362638,BI04.2,39.4132,-117.0476
BI04.3,496025,4363900,BI04.3,39.4246,-117.0462
BI05.1,496070,4364329,BI05.1,39.4285,-117.0457
BI05.2,495912,4364636,BI05.2,39.4313,-117.0475
BI06.1,495419,4364918,BI06.1,39.4338,-117.0532
BI06.2,495236,4365279,BI06.2,39.437,-117.0554
BI07.1,495466,4365710,BI07.1,39.4409,-117.0527
BI07.2,495570,4366063,BI07.2,39.4441,-117.0515
BI0B1,499898,4358107,BI0B1,39.3724,-117.0012
BI0B2,499642,4358265,BI0B2,39.3739,-117.0042
BI0B3,499332,4358458,BI0B3,39.3756,-117.0078
BI0B4,499077,4358851,BI0B4,39.3791,-117.0107
BL01,526371,4274731,BL01,38.6207,-116.6971
BL02,526460,4275079,BL02,38.6238,-116.696
BL03,526524,4275434,BL03,38.627,-116.6953
BL04,527520,4275949,BL04,38.6316,-116.6838
BL05,527839,4276098,BL05,38.633,-116.6801
BL06,528178,4276244,BL06,38.6343,-116.6762
BL07,528540,4276183,BL07,38.6337,-116.6721
BL08,529291,4276396,BL08,38.6356,-116.6635
BL09,529636,4276547,BL09,38.637,-116.6595
BL10,530218,4277084,BL10,38.6418,-116.6528
BL11,530677,4277376,BL11,38.6444,-116.6475
BL12,531363,4278415,BL12,38.6537,-116.6396
BL13,531457,4278622,BL13,38.6556,-116.6385
BL14,531603,4278935,BL14,38.6584,-116.6368
BL15,531506,4279427,BL15,38.6629,-116.6379
BL16,531518,4279788,BL16,38.6661,-116.6377
CBN01,546194,4349269,CBN01,39.2916,-116.4643
CBN02,546476,4349215,CBN02,39.2911,-116.4611
CBN03 (WL16),545895,4349257,CBN03 (WL16),39.2915,-116.4678
CBN04,546131,4350086,CBN04,39.2989,-116.465
CBN05,546053,4349771,CBN05,39.2961,-116.4659
CBS01,545790,4345796,CBS01,39.2603,-116.4692
CBS02,545551,4345989,CBS02,39.262,-116.472
CBS03,545275,4346025,CBS03,39.2624,-116.4752
CBS04,545075,4346243,CBS04,39.2644,-116.4775
CBS05,544990,4346534,CBS05,39.267,-116.4785
DW01.1,537501,4315491,DW01.1,38.9876,-116.567
DW01.2,538162,4314128,DW01.2,38.9753,-116.5594
DW02.1,538838,4313180,DW02.1,38.9667,-116.5517
DW02.2,539670,4312535,DW02.2,38.9609,-116.5421
DW03.1,539960,4312319,DW03.1,38.9589,-116.5388
DW03.2,540419,4312155,DW03.2,38.9574,-116.5335
DW03.3,541818,4311882,DW03.3,38.9549,-116.5174
DW04.1,542293,4310862,DW04.1,38.9457,-116.512
DW04.2,542325,4310390,DW04.2,38.9414,-116.5116
DE05.1,542202,4310091,DE05.1,38.9387,-116.5131
DE05.2,542034,4309778,DE05.2,38.9359,-116.515
DE05.3,542287,4309074,DE05.3,38.9296,-116.5121
DE06.1,542619,4308317,DE06.1,38.9227,-116.5084
DE06.2,543285,4307564,DE06.2,38.9159,-116.5007
DE06.3,544055,4306636,DE06.3,38.9075,-116.4919
DE07.1,544410,4306641,DE07.1,38.9075,-116.4878
DE07.2,544812,4306347,DE07.2,38.9049,-116.4832
DE07.3,544582,4305903,DE07.3,38.9009,-116.4859
EH01,530390,4271303,EH01,38.5897,-116.651
EH02,530128,4271033,EH02,38.5873,-116.6541
EH03,530010,4271331,EH03,38.59,-116.6554
EH04,530210,4271544,EH04,38.5919,-116.6531
GS01,498568,4370386,GS01,39.4831,-117.0167
GS02,498766,4370378,GS02,39.483,-117.0143
GS03,499376,4370360,GS03,39.4828,-117.0073
GS04,499391,4370537,GS04,39.4844,-117.0071
GS05,499165,4370619,GS05,39.4852,-117.0097
GS06,498953,4370678,GS06,39.4857,-117.0122
GS07,498729,4370665,GS07,39.4856,-117.0148
GS08,498840,4370884,GS08,39.4876,-117.0135
GS09,499234,4371042,GS09,39.489,-117.0089
GS10,499449,4370812,GS10,39.4869,-117.0064
JE01.1,481292,4286426,JE01.1,38.7263,-117.2152
JE01.2,480943,4286510,JE01.2,38.727,-117.2192
JE01.3,480602,4286575,JE01.3,38.7276,-117.2232
JE02.1,480042,4286915,JE02.1,38.7307,-117.2296
JE02.2,479554,4287084,JE02.2,38.7322,-117.2352
JE02.3,479032,4287356,JE02.3,38.7346,-117.2412
JE03.1,478738,4287599,JE03.1,38.7368,-117.2446
JE03.2,478552,4287654,JE03.2,38.7373,-117.2468
JE03.3,478243,4287949,JE03.3,38.74,-117.2503
KI01.1,490577,4340269,KI01.1,39.2116,-117.1091
KI01.2,490208,4340397,KI01.2,39.2128,-117.1134
KI02.1,489161,4340754,KI02.1,39.216,-117.1256
KI02.2,488560,4341104,KI02.2,39.2191,-117.1325
KI03.1,487308,4342253,KI03.1,39.2295,-117.147
KI03.2,486446,4342789,KI03.2,39.2343,-117.157
KI04.1,485852,4345452,KI04.1,39.2583,-117.164
KI04.2,485994,4345959,KI04.2,39.2629,-117.1623
KI04.3,486220,4346872,KI04.3,39.2711,-117.1597
KI05.1,487929,4348425,KI05.1,39.2851,-117.14
KI05.2,488491,4348937,KI05.2,39.2897,-117.1335
KI06.1,488866,4349172,KI06.1,39.2918,-117.1291
KI06.2,489383,4349193,KI06.2,39.292,-117.1231
KI07.1,489553,4349065,KI07.1,39.2909,-117.1211
KI07.2,489598,4349266,KI07.2,39.2927,-117.1206
MD01.1,512295,4277782,MD01.1,38.6485,-116.8587
MD01.2,511844,4278222,MD01.2,38.6525,-116.8639
MD01.3,511062,4279066,MD01.3,38.6601,-116.8729
MD02.1,510018,4280073,MD02.1,38.6692,-116.8848
MD02.2,509176,4280604,MD02.2,38.674,-116.8945
MD02.3,508562,4281002,MD02.3,38.6776,-116.9016
MD03.1,507148,4282357,MD03.1,38.6898,-116.9178
MD03.2,506561,4282170,MD03.2,38.6881,-116.9246
MD04.1,505955,4281915,MD04.1,38.6858,-116.9315
MD04.2,505683,4282116,MD04.2,38.6876,-116.9347
MD05.1,505506,4282528,MD05.1,38.6913,-116.9367
MD05.2,505212,4282660,MD05.2,38.6925,-116.9401
ME01.1,514277,4300653,ME01.1,38.8546,-116.8355
ME01.2,513245,4300632,ME01.2,38.8544,-116.8474
ME02.1,511995,4301668,ME02.1,38.8638,-116.8617
ME02.2,511611,4301799,ME02.2,38.865,-116.8662
ME03.1,509955,4302205,ME03.1,38.8686,-116.8852
ME03.2,509541,4301985,ME03.2,38.8667,-116.89
ME04.1,508762,4301637,ME04.1,38.8635,-116.899
ME04.2,508352,4301628,ME04.2,38.8634,-116.9037
MW01.1,502376,4304048,MW01.1,38.8853,-116.9726
MW01.2,503722,4303756,MW01.2,38.8827,-116.9571
MW02.1,504135,4303463,MW02.1,38.88,-116.9523
MW02.2,504416,4303175,MW02.2,38.8774,-116.9491
MW03.1,505236,4302426,MW03.1,38.8707,-116.9396
MW03.2,505684,4301905,MW03.2,38.866,-116.9345
MW04.1,506482,4300881,MW04.1,38.8567,-116.9253
MW04.2,507099,4301024,MW04.2,38.858,-116.9182
MW05.1,507488,4301516,MW05.1,38.8624,-116.9137
MW05.2,507782,4301548,MW05.2,38.8627,-116.9103
NE01.1,514315,4306160,NE01.1,38.9042,-116.8349
NE01.2,513633,4306615,NE01.2,38.9083,-116.8428
NE02.1,511935,4308340,NE02.1,38.9239,-116.8623
NE02.2,512003,4309382,NE02.2,38.9333,-116.8615
NE03.1,512846,4310449,NE03.1,38.9429,-116.8518
NE03.2,513433,4310531,NE03.2,38.9436,-116.845
NE04.1,513289,4310889,NE04.1,38.9468,-116.8466
NE04.2,513369,4311288,NE04.2,38.9504,-116.8457
NE05.1,513374,4312341,NE05.1,38.9599,-116.8456
NE05.2,513403,4313107,NE05.2,38.9668,-116.8453
NW01.1,508212,4316584,NW01.1,38.9982,-116.9052
NW01.2,509227,4315457,NW01.2,38.9881,-116.8935
NW02.1,509726,4315261,NW02.1,38.9863,-116.8877
NW02.2,511246,4314659,NW02.2,38.9808,-116.8702
NW03.1,511731,4314385,NW03.1,38.9784,-116.8646
NW03.2,512152,4313855,NW03.2,38.9736,-116.8597
NW04.1,512270,4313577,NW04.1,38.9711,-116.8584
NW04.2,512335,4312993,NW04.2,38.9658,-116.8576
NW05.1,512242,4312720,NW05.1,38.9634,-116.8587
NW06.1,512700,4312966,NW06.1,38.9656,-116.8534
NW06.2,513081,4313099,NW06.2,38.9668,-116.849
OP01.1,478608,4310154,OP01.1,38.9401,-117.2468
OP01.2,478207,4310375,OP01.2,38.942,-117.2515
OP02.1,477850,4310416,OP02.1,38.9424,-117.2556
OP02.2,477519,4310331,OP02.2,38.9416,-117.2594
OP03.1,477123,4310512,OP03.1,38.9432,-117.264
OP03.2,476818,4310735,OP03.2,38.9453,-117.2675
OP04.1,475875,4310641,OP04.1,38.9444,-117.2784
OP05.1,475407,4310665,OP05.1,38.9446,-117.2838
OP05.2,474938,4310724,OP05.2,38.9451,-117.2892
