Common name,Scientific name,Total abundance,Mean mass (g),SD mass (g),Poorly sampled by point counts
Mallard,Anas platyrhynchos,6,1082,129,Y
Mountain Quail,Oreortyx pictus,31,233,20.9,Y
California Quail,Callipepla californica,12,186,15.7,Y
Chukar,Alectoris chukar,83,541,70,Y
Greater Sage-Grouse,Centrocercus urophasianus,20,3190,183,Y
Dusky Grouse,Dendragapus obscurus,1,1212,78.4,Y
Sooty Grouse,Dendragapus fuliginosus,2,1273,87.8,Y
Black-crowned Night-heron,Nycticorax nycticorax,8,810,99.8,Y
Turkey Vulture,Cathartes aura,6,2006,180.5,Y
Northern Harrier,Circus cyaneus,26,359,39.9,Y
Sharp-shinned Hawk,Accipiter striatus,2,103,6.4,Y
Cooper's Hawk,Accipiter cooperii,19,349,19.6,Y
Northern Goshawk,Accipiter gentilis,5,912,14.9,Y
Red-tailed Hawk,Buteo jamaicensis,59,1028,92.5,Y
Golden Eagle,Aquila chrysaetos,6,3900,335,Y
American Kestrel,Falco sparverius,55,111,9.3,
Prairie Falcon,Falco mexicanus,20,560,36,Y
Virginia Rail,Rallus limicola,1,84.1,14.5,Y
Killdeer,Charadrius vociferus,2,92.1,10.4,Y
Spotted Sandpiper,Actitis macularius,1,40.4,6.2,Y
Wilson's Snipe,Gallinago delicata,6,128,11.5,Y
Eurasian Collared-Dove,Streptopelia decaocto,20,152,11.6,
Mourning Dove,Zenaida macroura,411,123,1.8,
Flammulated Owl,Psiloscops flammeolus,1,54.7,3.3,Y
Great Horned Owl,Bubo virginianus,1,914,133.3,Y
Burrowing Owl,Athene cunicularia,3,146,11.7,Y
Short-eared Owl,Asio flammeus,1,315,40.5,Y
Northern Saw-whet Owl,Aegolius acadicus,1,77.4,4.5,Y
Common Nighthawk,Chordeiles minor,58,79.3,7.1,Y
Common Poorwill,Phalaenoptilus nuttallii,4,47.2,6,Y
White-throated Swift,Aeronautes saxatalis,124,32.1,2.5,Y
Black-chinned Hummingbird,Archilochus alexandri,7,3.2,0.4,
Anna's Hummingbird,Calypte anna,2,4.5,0.4,Y
Costa's Hummingbird,Calypte costae,2,3,0.7,Y
Calliope Hummingbird,Selasphorus calliope,5,2.5,0.3,
