transect,canyon,mtnrange,transect_area,elev_mean,tri_Riley,precip_2012,precip_2013,precip_2014,precip_2015,maxtemp_2012,maxtemp_2013,maxtemp_2014,maxtemp_2015,mintemp_2012,mintemp_2013,mintemp_2014,mintemp_2015,nectar 2012,nectar 2013,nectar 2014,nectar 2015,mud 2012,mud 2013,mud 2014,mud 2015
BD01,Bodie,Wassuk,1.6,1898,204.42,136.65,159.75,201.42,223.02,17.96,17.47,17.74,18.31,1.23,1.24,1.38,2.29,0,2,2,1,0,0,0,0
BD02,Bodie,Wassuk,2.17,1908,283.27,136.65,159.75,201.42,223.02,17.96,17.47,17.74,18.31,1.23,1.24,1.38,2.29,0,2,2,1,0,0,0,0
BD03,Bodie,Wassuk,3.77,1925,361.99,136.65,159.75,201.42,223.02,17.96,17.47,17.74,18.31,1.23,1.24,1.38,2.29,0,1,1,1,0,0,0,0
BD04,Bodie,Wassuk,4.02,1952,442.38,136.65,159.75,201.42,223.02,17.96,17.47,17.74,18.31,1.23,1.24,1.38,2.29,2,1,1,2,0,0,0,1
BD05,Bodie,Wassuk,2.42,1980,362.09,136.65,159.75,201.42,223.02,17.96,17.47,17.74,18.31,1.23,1.24,1.38,2.29,2,1,1,1,1,1,3,1
BD06,Bodie,Wassuk,5.17,2019,562.05,153.17,187.44,229.35,238.49,15.67,15.25,15.28,15.69,0.25,0.63,0.78,1.84,1,2,1,1,0,0,3,1
BD07,Bodie,Wassuk,4.48,2066,459.11,153.17,187.44,229.35,238.49,15.67,15.25,15.28,15.69,0.25,0.63,0.78,1.84,2,2,1,2,0,0,3,2
BD08,Bodie,Wassuk,3.08,2094,336.39,153.17,187.44,229.35,238.49,15.67,15.25,15.28,15.69,0.25,0.63,0.78,1.84,2,1,1,1,0,0,3,0
BD09,Bodie,Wassuk,2.06,2112,344.4,153.17,187.44,229.35,238.49,15.67,15.25,15.28,15.69,0.25,0.63,0.78,1.84,0,1,1,1,0,0,0,1
BD10,Bodie,Wassuk,2.16,2127,284.4,153.17,187.44,229.35,238.49,15.67,15.25,15.28,15.69,0.25,0.63,0.78,1.84,3,1,2,2,0,0,0,1
BD11,Bodie,Wassuk,1.93,2146,352.92,153.17,187.44,229.35,238.49,15.67,15.25,15.28,15.69,0.25,0.63,0.78,1.84,2,1,1,1,0,0,0,0
BD12,Bodie,Wassuk,1.97,2168,421.98,153.17,187.44,229.35,238.49,15.67,15.25,15.28,15.69,0.25,0.63,0.78,1.84,2,1,1,1,0,0,1,1
BD13,Bodie,Wassuk,2.48,2196,386.87,153.17,187.44,229.35,238.49,15.67,15.25,15.28,15.69,0.25,0.63,0.78,1.84,2,1,3,1,0,0,1,1
BD14,Bodie,Wassuk,2.45,2208,410.29,153.17,187.44,229.35,238.49,15.67,15.25,15.28,15.69,0.25,0.63,0.78,1.84,2,1,2,1,0,0,0,0
BD15,Bodie,Wassuk,2.27,2228,395.4,153.17,187.44,229.35,238.49,15.67,15.25,15.28,15.69,0.25,0.63,0.78,1.84,0,1,1,1,0,0,0,0
BD16,Bodie,Wassuk,1.9,2244,314.36,163.57,203.19,219.22,246.13,14.44,13.83,14.00,14.17,-0.94,-0.80,-1.10,0.40,2,1,1,1,0,0,2,1
BD17,Bodie,Wassuk,2.42,2283,482.19,163.57,203.19,219.22,246.13,14.44,13.83,14.00,14.17,-0.94,-0.80,-1.10,0.40,2,3,3,2,0,0,0,1
BD18,Bodie,Wassuk,2.86,2294,302.79,163.57,203.19,219.22,246.13,14.44,13.83,14.00,14.17,-0.94,-0.80,-1.10,0.40,2,2,2,2,2,2,3,3
CP01,Corey,Wassuk,2.74,2410,644.63,193.56,215.38,261.89,307.34,12.71,12.34,12.82,13.16,0.76,0.73,1.26,2.08,1,1,1,2,2,2,3,3
CP02,Corey,Wassuk,2.33,2489,673.66,193.56,215.38,261.89,307.34,12.71,12.34,12.82,13.16,0.76,0.73,1.26,2.08,3,1,2,1,3,3,3,3
CP03,Corey,Wassuk,3.07,2591,775.16,193.56,215.38,261.89,307.34,12.71,12.34,12.82,13.16,0.76,0.73,1.26,2.08,2,1,1,1,1,3,0,0
CP04,Corey,Wassuk,1.91,2673,688.55,193.56,215.38,261.89,307.34,12.71,12.34,12.82,13.16,0.76,0.73,1.26,2.08,2,1,1,1,1,1,0,0
CP05,Corey,Wassuk,2.94,2736,697.67,193.56,215.38,261.89,307.34,12.71,12.34,12.82,13.16,0.76,0.73,1.26,2.08,2,1,2,0,1,0,0,0
CP06,Corey,Wassuk,3.15,2816,789.89,193.56,215.38,261.89,307.34,12.71,12.34,12.82,13.16,0.76,0.73,1.26,2.08,3,3,3,1,1,0,3,0
CP07,Corey,Wassuk,2.52,2896,738.63,222.25,262.64,294.13,325.63,11.87,11.48,11.93,12.28,0.28,0.26,0.79,1.63,2,3,3,2,1,0,0,0
CP08,Corey,Wassuk,2.8,2968,610.55,222.25,262.64,294.13,325.63,11.87,11.48,11.93,12.28,0.28,0.26,0.79,1.63,2,3,3,2,1,0,0,0
CW01,Cottonwood,Wassuk,2.23,1644,539.38,157.49,163.83,219.69,291.09,15.53,15.02,15.48,15.97,2.73,2.67,3.11,4.06,1,2,2,2,2,2,3,3
CW02,Cottonwood,Wassuk,1.89,1694,427.6,157.49,163.83,219.69,291.09,15.53,15.02,15.48,15.97,2.73,2.67,3.11,4.06,0,2,2,1,0,0,1,1
CW03,Cottonwood,Wassuk,7.63,1786,691.26,157.49,163.83,219.69,291.09,15.53,15.02,15.48,15.97,2.73,2.67,3.11,4.06,1,2,3,1,0,0,0,0
CW04,Cottonwood,Wassuk,8.9,1912,742.26,174.25,186.94,237.74,324.35,15.26,14.82,15.27,15.68,2.68,2.62,3.17,4.02,2,1,2,3,1,0,0,1
CW05,Cottonwood,Wassuk,4.59,2015,531,174.25,186.94,237.74,324.35,15.26,14.82,15.27,15.68,2.68,2.62,3.17,4.02,1,1,2,1,0,0,0,0
CW06,Cottonwood,Wassuk,3.48,2069,476.89,174.25,186.94,237.74,324.35,15.26,14.82,15.27,15.68,2.68,2.62,3.17,4.02,3,3,3,3,3,2,3,3
CW07,Cottonwood,Wassuk,2.9,2115,464.74,174.25,186.94,237.74,324.35,15.26,14.82,15.27,15.68,2.68,2.62,3.17,4.02,2,1,3,1,0,0,2,0
CW08,Cottonwood,Wassuk,3.16,2160,371.63,174.25,186.94,237.74,324.35,15.26,14.82,15.27,15.68,2.68,2.62,3.17,4.02,0,1,1,0,0,0,0,0
CW09,Cottonwood,Wassuk,2.91,2190,463.54,209.31,249.69,280.16,352.55,13.30,12.91,13.37,13.75,1.34,1.26,1.82,2.63,1,1,1,1,0,0,0,0
CW10,Cottonwood,Wassuk,2.86,2237,518.46,209.31,249.69,280.16,352.55,13.30,12.91,13.37,13.75,1.34,1.26,1.82,2.63,2,2,2,1,1,0,0,1
CW11,Cottonwood,Wassuk,2.83,2293,528.74,209.31,249.69,280.16,352.55,13.30,12.91,13.37,13.75,1.34,1.26,1.82,2.63,1,2,3,1,0,2,1,1
