transect,cumulative S,2012 S,2013 S,2014 S,canyon,range,centroid x (NAD83 zone 11),centroid y (NAD83 zone 11),area (ha),elev_mean,tri_Riley,precip 2012,precip 2013,precip 2014,maxtemp_2012,maxtemp_2013,maxtemp_2014,nectar 2012,nectar 2013,nectar 2014,mud 2012,mud 2013,mud 2014
BD01,7,1,4,5,Bodie,Wassuk,332713,4244540,1.60,1898,204.42,136.65,159.75,201.42,17.96,17.47,17.74,0,2,2,0,0,0
BD02,3,1,2,2,Bodie,Wassuk,332519,4244250,2.17,1908,283.27,136.65,159.75,201.42,17.96,17.47,17.74,0,2,2,0,0,0
BD03,11,2,5,7,Bodie,Wassuk,332099,4243830,3.77,1925,361.99,136.65,159.75,201.42,17.96,17.47,17.74,0,1,1,0,0,0
BD04,15,5,9,9,Bodie,Wassuk,331537,4243380,4.02,1952,442.38,136.65,159.75,201.42,17.96,17.47,17.74,2,1,1,0,0,0
BD05,13,5,8,10,Bodie,Wassuk,331356,4242830,2.42,1980,362.09,136.65,159.75,201.42,17.96,17.47,17.74,2,1,1,1,1,3
BD06,20,12,11,16,Bodie,Wassuk,331248,4242110,5.17,2019,562.05,153.17,187.44,229.35,15.67,15.25,15.28,1,2,1,0,0,3
BD07,23,15,15,15,Bodie,Wassuk,331204,4241280,4.48,2066,459.11,153.17,187.44,229.35,15.67,15.25,15.28,2,2,1,0,0,3
BD08,17,9,9,10,Bodie,Wassuk,331175,4240590,3.08,2094,336.39,153.17,187.44,229.35,15.67,15.25,15.28,2,1,1,0,0,3
BD09,11,4,7,3,Bodie,Wassuk,331158,4240090,2.06,2112,344.40,153.17,187.44,229.35,15.67,15.25,15.28,0,1,1,0,0,0
BD10,22,16,7,12,Bodie,Wassuk,331148,4239690,2.16,2127,284.40,153.17,187.44,229.35,15.67,15.25,15.28,3,1,2,0,0,0
BD11,19,12,10,9,Bodie,Wassuk,331263,4239340,1.93,2146,352.92,153.17,187.44,229.35,15.67,15.25,15.28,2,1,1,0,0,0
BD12,15,7,7,9,Bodie,Wassuk,331306,4238970,1.97,2168,421.98,153.17,187.44,229.35,15.67,15.25,15.28,2,1,1,0,0,1
