canyon,range,centroid x (NAD83 zone 11),centroid y (NAD83 zone 11),sampled area (ha),canyon area (ha),elevational range (m)
Bodie,Wassuk,331262,4240730,56.52,187.041,420
Corey Peak,Wassuk,346340,4257190,25.12,69.4661,599
Cottonwood,Wassuk,340626,4273900,62.8,285.348,1139
Desert,Sweetwater,296539,4275070,37.68,76.8809,191
Mill,Sierra,282580,4259240,37.68,89.828,286
Silver,Sierra,276064,4250640,34.54,65.5472,125
Summer,Sierra,299704,4226250,37.68,107.323,302
Virginia Lakes,Sierra,302433,4214070,40.82,79.4538,446
Green,Sierra,302074,4221260,37.68,78.87,106
Little Antelope,Sierra,276674,4265850,25.12,51.7119,198
Powell,Wassuk,353954,4245000,31.4,149.156,524
Risue,Sweetwater,300759,4271240,34.54,68.064,77
Wolf,Sierra,274597,4249130,34.54,76.6544,307
