point,canyon,mtnrange,elevation,terrain_ruggedness,sagebrush_incidence,rabbitbrush_incidence,mean_riparian_cover,mean_coniferous_cover,mean_all_cover,2012_total_precip_MarAprMay,2013_total_precip_MarAprMay,2014_total_precip_MarAprMay,2016_total_precip_MarAprMay,2012_maxtemp_MarAprMay,2013_maxtemp_MarAprMay,2014_maxtemp_MarAprMay,2016_maxtemp_MarAprMay,2012_mean_maxtemp_MarAprMay,2013_mean_maxtemp_MarAprMay,2014_mean_maxtemp_MarAprMay,2016_mean_maxtemp_MarAprMay,2012_mintemp_MarApr_May,2013_mintemp_MarApr_May,2014_mintemp_MarApr_May,2016_mintemp_MarApr_May,2012_mean_mintemp_MarAprMay,2013_mean_mintemp_MarAprMay,2014_mean_mintemp_MarAprMay,2016_mean_mintemp_MarAprMay
BD01,Bodie,Wassuk,1897,280.96,0.29,0.33,0.04,0.00,0.04,35.56,21.33,64.51,128.78,21.2,19.7,19.7,17.3,15.93,16.33,15.83,15.03,-2.70,-1.80,-2.40,-0.70,0.00,0.60,0.10,0.80
BD02,Bodie,Wassuk,1911,439.28,0.24,0.05,0.00,0.02,0.02,35.56,21.33,64.51,128.78,21.2,19.7,19.7,17.3,15.93,16.33,15.83,15.03,-2.70,-1.80,-2.40,-0.70,0.00,0.60,0.10,0.80
BD03,Bodie,Wassuk,1928,333.14,0.14,0.10,0.00,0.00,0.00,35.56,21.33,64.51,128.78,21.2,19.7,19.7,17.3,15.93,16.33,15.83,15.03,-2.70,-1.80,-2.40,-0.70,0.00,0.60,0.10,0.80
BD04,Bodie,Wassuk,1973,551.12,0.38,0.00,0.15,0.03,0.18,35.56,21.33,64.51,128.78,21.2,19.7,19.7,17.3,15.93,16.33,15.83,15.03,-2.70,-1.80,-2.40,-0.70,0.00,0.60,0.10,0.80
BD05,Bodie,Wassuk,1999,626.47,0.19,0.05,0.03,0.05,0.08,35.56,21.33,64.51,128.78,21.2,19.7,19.7,17.3,15.93,16.33,15.83,15.03,-2.70,-1.80,-2.40,-0.70,0.00,0.60,0.10,0.80
BD06,Bodie,Wassuk,2023,504.97,0.29,0.24,0.13,0.14,0.27,35.56,21.33,64.51,128.78,21.2,19.7,19.7,17.3,15.93,16.33,15.83,15.03,-2.70,-1.80,-2.40,-0.70,0.00,0.60,0.10,0.80
BD07,Bodie,Wassuk,2080,531.80,0.33,0.00,0.00,0.32,0.33,38.61,22.09,72.64,131.06,18.8,17.3,17.2,14.8,13.63,13.93,13.23,12.20,-4.20,-2.30,-3.40,-2.20,-1.30,-0.20,-0.90,-0.13
BD08,Bodie,Wassuk,2112,581.64,0.38,0.10,0.10,0.10,0.19,38.61,22.09,72.64,131.06,18.8,17.3,17.2,14.8,13.63,13.93,13.23,12.20,-4.20,-2.30,-3.40,-2.20,-1.30,-0.20,-0.90,-0.13
BD09,Bodie,Wassuk,2118,574.18,0.57,0.05,0.03,0.00,0.03,38.61,22.09,72.64,131.06,18.8,17.3,17.2,14.8,13.63,13.93,13.23,12.20,-4.20,-2.30,-3.40,-2.20,-1.30,-0.20,-0.90,-0.13
BD10,Bodie,Wassuk,2134,493.77,0.48,0.00,0.07,0.12,0.19,38.61,22.09,72.64,131.06,18.8,17.3,17.2,14.8,13.63,13.93,13.23,12.20,-4.20,-2.30,-3.40,-2.20,-1.30,-0.20,-0.90,-0.13
BD11,Bodie,Wassuk,2163,542.65,0.48,0.00,0.18,0.28,0.46,38.61,22.09,72.64,131.06,18.8,17.3,17.2,14.8,13.63,13.93,13.23,12.20,-4.20,-2.30,-3.40,-2.20,-1.30,-0.20,-0.90,-0.13
BD12,Bodie,Wassuk,2179,510.36,0.29,0.14,0.36,0.09,0.45,38.61,22.09,72.64,131.06,18.8,17.3,17.2,14.8,13.63,13.93,13.23,12.20,-4.20,-2.30,-3.40,-2.20,-1.30,-0.20,-0.90,-0.13
BD13,Bodie,Wassuk,2205,489.43,0.55,0.15,0.23,0.00,0.23,38.61,22.09,72.64,131.06,18.8,17.3,17.2,14.8,13.63,13.93,13.23,12.20,-4.20,-2.30,-3.40,-2.20,-1.30,-0.20,-0.90,-0.13
BD14,Bodie,Wassuk,2219,552.27,0.52,0.00,0.37,0.12,0.50,38.61,22.09,72.64,131.06,18.8,17.3,17.2,14.8,13.63,13.93,13.23,12.20,-4.20,-2.30,-3.40,-2.20,-1.30,-0.20,-0.90,-0.13
BD15,Bodie,Wassuk,2237,508.61,0.38,0.05,0.05,0.14,0.19,38.61,22.09,72.64,131.06,18.8,17.3,17.2,14.8,13.63,13.93,13.23,12.20,-4.20,-2.30,-3.40,-2.20,-1.30,-0.20,-0.90,-0.13
BD16,Bodie,Wassuk,2257,577.50,0.43,0.10,0.05,0.27,0.32,38.1,21.59,71.89,139.7,17.8,15.6,15.5,13.6,12.43,12.13,11.63,10.77,-6.80,-5.10,-6.50,-5.10,-3.43,-2.33,-3.37,-2.80
BD17,Bodie,Wassuk,2282,429.43,0.57,0.00,0.01,0.01,0.02,38.1,21.59,71.89,139.7,17.8,15.6,15.5,13.6,12.43,12.13,11.63,10.77,-6.80,-5.10,-6.50,-5.10,-3.43,-2.33,-3.37,-2.80
BD18,Bodie,Wassuk,2299,653.57,0.29,0.00,0.12,0.00,0.12,38.1,21.59,71.89,139.7,17.8,15.6,15.5,13.6,12.43,12.13,11.63,10.77,-6.80,-5.10,-6.50,-5.10,-3.43,-2.33,-3.37,-2.80
CP01,Corey,Wassuk,2427,653.99,0.33,0.00,0.00,0.55,0.55,54.36,31.24,79.76,127.25,15.3,13.8,14.2,11.8,10.10,10.53,10.27,9.40,-4.60,-2.10,-3.70,-2.80,-1.67,-0.73,-1.20,-1.03
CP02,Corey,Wassuk,2512,662.87,0.20,0.05,0.10,0.79,0.88,54.36,31.24,79.76,127.25,15.3,13.8,14.2,11.8,10.10,10.53,10.27,9.40,-4.60,-2.10,-3.70,-2.80,-1.67,-0.73,-1.20,-1.03
CP03,Corey,Wassuk,2586,631.74,0.10,0.10,0.00,0.35,0.35,54.36,31.24,79.76,127.25,15.3,13.8,14.2,11.8,10.10,10.53,10.27,9.40,-4.60,-2.10,-3.70,-2.80,-1.67,-0.73,-1.20,-1.03
CP04,Corey,Wassuk,2706,686.74,0.52,0.10,0.12,0.21,0.29,54.36,31.24,79.76,127.25,15.3,13.8,14.2,11.8,10.10,10.53,10.27,9.40,-4.60,-2.10,-3.70,-2.80,-1.67,-0.73,-1.20,-1.03
CP05,Corey,Wassuk,2732,711.87,0.19,0.10,0.00,0.16,0.16,54.36,31.24,79.76,127.25,15.3,13.8,14.2,11.8,10.10,10.53,10.27,9.40,-4.60,-2.10,-3.70,-2.80,-1.67,-0.73,-1.20,-1.03
CP06,Corey,Wassuk,2772,855.40,0.38,0.24,0.00,0.10,0.10,54.36,31.24,79.76,127.25,15.3,13.8,14.2,11.8,10.10,10.53,10.27,9.40,-4.60,-2.10,-3.70,-2.80,-1.67,-0.73,-1.20,-1.03
CP07,Corey,Wassuk,2949,750.14,0.67,0.10,0.00,0.00,0.00,54.36,31.24,79.76,127.25,15.3,13.8,14.2,11.8,10.10,10.53,10.27,9.40,-4.60,-2.10,-3.70,-2.80,-1.67,-0.73,-1.20,-1.03
CP08,Corey,Wassuk,2893,834.73,0.57,0.05,0.00,0.12,0.12,54.36,31.24,79.76,127.25,15.3,13.8,14.2,11.8,10.10,10.53,10.27,9.40,-4.60,-2.10,-3.70,-2.80,-1.67,-0.73,-1.20,-1.03
CW01,Cottonwood,Wassuk,1663,532.60,0.14,0.00,0.58,0.00,0.58,46.23,29.72,62.73,116.84,18.3,16.8,17.2,14.9,13.20,13.60,13.30,12.47,-2.40,-0.20,-1.60,-0.60,0.60,1.43,1.03,1.27
CW02,Cottonwood,Wassuk,1719,580.45,0.24,0.00,0.42,0.00,0.42,46.23,29.72,62.73,116.84,18.3,16.8,17.2,14.9,13.20,13.60,13.30,12.47,-2.40,-0.20,-1.60,-0.60,0.60,1.43,1.03,1.27
CW03,Cottonwood,Wassuk,1748,449.91,0.24,0.14,0.04,0.00,0.04,46.23,29.72,62.73,116.84,18.3,16.8,17.2,14.9,13.20,13.60,13.30,12.47,-2.40,-0.20,-1.60,-0.60,0.60,1.43,1.03,1.27
CW04,Cottonwood,Wassuk,1952,535.02,0.29,0.05,0.00,0.05,0.05,51.05,30.99,66.55,125.47,18,16.6,16.9,14.6,12.80,13.27,12.90,12.10,-2.60,-0.10,-1.70,-0.80,0.47,1.37,0.93,1.13
CW05,Cottonwood,Wassuk,2036,453.85,0.33,0.00,0.00,0.26,0.26,51.05,30.99,66.55,125.47,18,16.6,16.9,14.6,12.80,13.27,12.90,12.10,-2.60,-0.10,-1.70,-0.80,0.47,1.37,0.93,1.13
CW06,Cottonwood,Wassuk,2093,531.88,0.19,0.05,0.20,0.00,0.20,51.05,30.99,66.55,125.47,18,16.6,16.9,14.6,12.80,13.27,12.90,12.10,-2.60,-0.10,-1.70,-0.80,0.47,1.37,0.93,1.13
