point,N83Z11XXX,N83Z11YYY,Id,Latitude,Longitude
BD01,332711,4244556,BD01,38.334,-118.914
BD02,332550,4244283,BD02,38.331,-118.916
BD03,332194,4243923,BD03,38.328,-118.92
BD04,331478,4243296,BD04,38.322,-118.928
BD05,331351,4242839,BD05,38.318,-118.929
BD06,331306,4242255,BD06,38.313,-118.93
BD07,331184,4241217,BD07,38.303,-118.931
BD08,331176,4240473,BD08,38.296,-118.931
BD09,331159,4240089,BD09,38.293,-118.931
BD10,331154,4239708,BD10,38.29,-118.931
BD11,331276,4239320,BD11,38.286,-118.929
BD12,331281,4239006,BD12,38.283,-118.929
BD13,331209,4238565,BD13,38.279,-118.93
BD14,330963,4238188,BD14,38.276,-118.932
BD15,330582,4237878,BD15,38.273,-118.937
BD16,330286,4237629,BD16,38.271,-118.94
BD17,329981,4237414,BD17,38.269,-118.944
BD18,329496,4237518,BD18,38.27,-118.949
CP01,347226,4256384,CP01,38.443,-118.751
CP02,346802,4256659,CP02,38.445,-118.756
CP03,346447,4256860,CP03,38.447,-118.76
CP04,346025,4257117,CP04,38.449,-118.765
CP05,346378,4257246,CP05,38.45,-118.76
CP06,346626,4257465,CP06,38.452,-118.758
CP07,346211,4257589,CP07,38.453,-118.762
CP08,346689,4257692,CP08,38.454,-118.757
CW01,343731,4278978,CW01,38.646,-118.796
CW02,343305,4278986,CW02,38.646,-118.801
CW03,342963,4278920,CW03,38.645,-118.804
CW04,341200,4277187,CW04,38.629,-118.824
CW05,340800,4276278,CW05,38.621,-118.829
CW06,340966,4275468,CW06,38.613,-118.827
CW07,340706,4275024,CW07,38.609,-118.83
CW08,340386,4274536,CW08,38.605,-118.833
CW09,340594,4273996,CW09,38.6,-118.831
CW10,340785,4273489,CW10,38.596,-118.828
CW11,340874,4272912,CW11,38.59,-118.827
CW12,34100,4272418,CW12,38.478,-122.34
CW13,341149,4271955,CW13,38.582,-118.824
CW14,341106,4271628,CW14,38.579,-118.824
CW15,340938,4270851,CW15,38.572,-118.826
CW16,340965,4269817,CW16,38.563,-118.825
CW17,341266,4268832,CW17,38.554,-118.822
CW18,341376,4268328,CW18,38.549,-118.82
CW19,341390,4267927,CW19,38.546,-118.82
CW20,341786,4267311,CW20,38.54,-118.815
DC01,296398,4276851,DC01,38.617,-119.339
DC02,296470,4276545,DC02,38.614,-119.338
DC03,296594,4276249,DC03,38.611,-119.336
DC04,296738,4275722,DC04,38.607,-119.334
DC05,296698,4275413,DC05,38.604,-119.335
DC06,296605,4275119,DC06,38.601,-119.336
DC07,296498,4274834,DC07,38.599,-119.337
DC08,296555,4274451,DC08,38.595,-119.336
DC09,296669,4274194,DC09,38.593,-119.335
DC10,296865,4273959,DC10,38.591,-119.332
DC11,296069,4273703,DC11,38.588,-119.341
DC12,296269,4273459,DC12,38.586,-119.339
GR01,303577,4222359,GR01,38.128,-119.241
GR02,303236,4222212,GR02,38.126,-119.245
GR03,302969,4222038,GR03,38.125,-119.248
GR04,302801,4221766,GR04,38.122,-119.25
GR05,302593,4221462,GR05,38.119,-119.252
GR06,302302,4221336,GR06,38.118,-119.255
GR07,302007,4221233,GR07,38.117,-119.259
GR08,301686,4221175,GR08,38.117,-119.262
GR09,301301,4221113,GR09,38.116,-119.267
GR10,300983,4220975,GR10,38.115,-119.27
GR11,300727,4220713,GR11,38.112,-119.273
GR12,300341,4220537,GR12,38.111,-119.277
LA01,276959,4266874,LA01,38.522,-119.558
LA02,277015,4266551,LA02,38.519,-119.558
LA03,277073,4266234,LA03,38.517,-119.557
LA04,276881,4265983,LA04,38.514,-119.559
LA05,276605,4265822,LA05,38.513,-119.562
LA06,276356,4265664,LA06,38.511,-119.565
LA07,276104,4265514,LA07,38.51,-119.568
LA08,275677,4265126,LA08,38.506,-119.573
MI01,282599,4261425,MI01,38.475,-119.492
MI02,282552,4260997,MI02,38.471,-119.493
MI03,282592,4260593,MI03,38.467,-119.492
MI04,282577,4260244,MI04,38.464,-119.492
MI05,282563,4259912,MI05,38.461,-119.492
MI06,282555,4259580,MI06,38.458,-119.492
MI07,282649,4259163,MI07,38.454,-119.491
MI08,282740,4258855,MI08,38.452,-119.49
MI09,282877,4258504,MI09,38.448,-119.488
MI10,282866,4257670,MI10,38.441,-119.488
MI11,282888,4258156,MI11,38.445,-119.488
MI12,283088,4257190,MI12,38.437,-119.485
PW01,357219,4243310,PW01,38.327,-118.633
PW02,356806,4243654,PW02,38.33,-118.638
PW03,356284,4243829,PW03,38.331,-118.644
PW04,355842,4244112,PW04,38.334,-118.649
PW05,355352,4244294,PW05,38.335,-118.655
PW06,354884,4244513,PW06,38.337,-118.66
PW07,354541,4244879,PW07,38.34,-118.664
PW08,354008,4244998,PW08,38.341,-118.671
PW09,352269,4246192,PW09,38.352,-118.691
PW10,352016,4246385,PW10,38.353,-118.694
RR01,299841,4272558,RR01,38.579,-119.298
RR02,300049,4272281,RR02,38.577,-119.295
RR03,300308,4272051,RR03,38.574,-119.292
RR04,300556,4271840,RR04,38.573,-119.289
RR05,300626,4271534,RR05,38.57,-119.289
RR06,300759,4271230,RR06,38.567,-119.287
RR07,300937,4270958,RR07,38.565,-119.285
RR08,301125,4270669,RR08,38.562,-119.283
RR09,301297,4270392,RR09,38.56,-119.281
RR10,301510,4270060,RR10,38.557,-119.278
RR11,301782,4269910,RR11,38.556,-119.275
SI01,277499,4250857,SI01,38.378,-119.547
SI02,277225,4251046,SI02,38.38,-119.55
SI03,276913,4251104,SI03,38.38,-119.554
SI04,276559,4250981,SI04,38.379,-119.558
SI05,276042,4250639,SI05,38.376,-119.564
SI06,276234,4250893,SI06,38.378,-119.562
SI07,275706,4250630,SI07,38.376,-119.568
SI08,275406,4250755,SI08,38.377,-119.571
SI09,275125,4250887,SI09,38.378,-119.574
SI10,274944,4251089,SI10,38.38,-119.576
SI11,274770,4251373,SI11,38.382,-119.579
SM01,301897,4225140,SM01,38.152,-119.261
SM02,301523,4225022,SM02,38.151,-119.265
SM03,301201,4225122,SM03,38.152,-119.269
SM04,300917,4225272,SM04,38.153,-119.272
SM05,300326,4225808,SM05,38.158,-119.279
SM06,299951,4226188,SM06,38.161,-119.283
SM07,299407,4226234,SM07,38.162,-119.29
SM08,298874,4226080,SM08,38.16,-119.296
SM09,298479,4226017,SM09,38.16,-119.3
SM10,298076,4225924,SM10,38.159,-119.305
SM11,297685,4225731,SM11,38.157,-119.309
SM12,297589,4225376,SM12,38.154,-119.31
VL01,305032,4215577,VL01,38.067,-119.223
VL02,304735,4215399,VL02,38.065,-119.226
VL03,304549,4215137,VL03,38.063,-119.228
VL04,304232,4214918,VL04,38.061,-119.231
VL05,303986,4214756,VL05,38.059,-119.234
VL06,303685,4214820,VL06,38.06,-119.238
VL07,301198,4213805,VL07,38.05,-119.266
VL08,300945,4213951,VL08,38.051,-119.269
VL09,300551,4214028,VL09,38.052,-119.273
VL10,300396,4213818,VL10,38.05,-119.275
VL11,300093,4213735,VL11,38.049,-119.278
VL12,299798,4213670,VL12,38.049,-119.282
VL13,299464,4213514,VL13,38.047,-119.285
WO01,276307,4249441,WO01,38.365,-119.56
WO02,276007,4249608,WO02,38.367,-119.564
WO03,275551,4249607,WO03,38.367,-119.569
WO04,275250,4249425,WO04,38.365,-119.572
WO05,274827,4249165,WO05,38.362,-119.577
WO06,274453,4249085,WO06,38.362,-119.581
WO07,274824,4249163,WO07,38.362,-119.577
WO08,275250,4249425,WO08,38.365,-119.572
WO09,275550,4249606,WO09,38.367,-119.569
WO10,273259,4248493,WO10,38.356,-119.595
WO11,272958,4248358,WO11,38.355,-119.598
